,Name,Image_link,Country,Batting,Bowling,Role
0,Sean Abbott,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321600/321601.png",Australia,Right hand Bat,Right arm Fast medium,Bowling Allrounder
1,Abdullah Shafique,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366300/366319.png",Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter
2,Colin Ackermann,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322638.png",Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
3,Agha Salman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322164.png",Pakistan,Right hand Bat,Right arm Offbreak,Allrounder
4,Moeen Ali,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316557.png",England,Left hand Bat,Right arm Offbreak,Batting Allrounder
5,Charith Asalanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348599.png",Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
6,Ravichandran Ashwin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316521.png",India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
7,Gus Atkinson,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/296200/296215.1.jpg",England,Right hand Bat,Right arm Fast medium,Bowler
8,Azmatullah Omarzai,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347832.4.jpg",Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
9,Babar Azam,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320448.png",Pakistan,Right hand Bat,Right arm Offbreak,Batter
10,Jonny Bairstow,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319794.png",England,Right hand Bat,Right arm Medium,Wicketkeeper Batter
11,Wesley Barresi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322400/322483.png",Netherlands,Right hand Bat,Right arm Offbreak,Batter
12,Temba Bavuma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320389.png",South Africa,Right hand Bat,Right arm Medium,Middle order Batter
13,Trent Boult,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316619.png",New Zealand,Right hand Bat,Left arm Fast medium,Bowler
14,Harry Brook,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/324200/324246.png",England,Right hand Bat,Right arm Medium,Batter
15,Jasprit Bumrah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.png",India,Right hand Bat,Right arm Fast,Bowler
16,Jos Buttler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316642.png",England,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
17,Alex Carey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321551.png",Australia,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
18,Dushmantha Chameera,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319862.png",Sri Lanka,Right hand Bat,Right arm Fast,Bowler
19,Mark Chapman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321241.png",New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder
20,Gerald Coetzee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348579.png",South Africa,Right hand Bat,Right arm Fast,Bowler
21,Devon Conway,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321214.png",New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
