,Batsman,Out/Not_out,Runs,Balls,Minuts_of_play,4s,6s,Strike_Rate,Match,Team_Innings,Batting_position,Match_id
0,Rohit Sharma,out,47,31,44,4,3,151.61,India vs Australia,India,1,ODI # 4705
1,Shubman Gill,out,4,7,21,0,0,57.14,India vs Australia,India,2,ODI # 4705
2,Virat Kohli,out,54,63,99,4,0,85.71,India vs Australia,India,3,ODI # 4705
3,Shreyas Iyer,out,4,3,3,1,0,133.33,India vs Australia,India,4,ODI # 4705
4,KL Rahul,out,66,107,133,1,0,61.68,India vs Australia,India,5,ODI # 4705
5,Ravindra Jadeja,out,9,22,33,0,0,40.9,India vs Australia,India,6,ODI # 4705
6,Suryakumar Yadav,out,18,28,57,1,0,64.28,India vs Australia,India,7,ODI # 4705
7,Mohammed Shami,out,6,10,9,1,0,60,India vs Australia,India,8,ODI # 4705
8,Jasprit Bumrah,out,1,3,5,0,0,33.33,India vs Australia,India,9,ODI # 4705
9,Kuldeep Yadav,out,10,18,28,0,0,55.55,India vs Australia,India,10,ODI # 4705
10,Mohammed Siraj,not out,9,8,13,1,0,112.5,India vs Australia,India,11,ODI # 4705
11,Quinton de Kock,out,3,14,27,0,0,21.42,South Africa vs Australia,South Africa,1,ODI # 4704
12,Temba Bavuma,out,0,4,5,0,0,0,South Africa vs Australia,South Africa,2,ODI # 4704
13,Rassie van der Dussen,out,6,31,53,0,0,19.35,South Africa vs Australia,South Africa,3,ODI # 4704
14,Aiden Markram,out,10,20,24,2,0,50,South Africa vs Australia,South Africa,4,ODI # 4704
15,Heinrich Klaasen,out,47,48,76,4,2,97.91,South Africa vs Australia,South Africa,5,ODI # 4704
16,David Miller,out,101,116,138,8,5,87.06,South Africa vs Australia,South Africa,6,ODI # 4704
17,Marco Jansen,out,0,1,1,0,0,0,South Africa vs Australia,South Africa,7,ODI # 4704
18,Gerald Coetzee,out,19,39,42,2,0,48.71,South Africa vs Australia,South Africa,8,ODI # 4704
19,Keshav Maharaj,out,4,8,13,0,0,50,South Africa vs Australia,South Africa,9,ODI # 4704
20,Kagiso Rabada,out,10,12,18,0,1,83.33,South Africa vs Australia,South Africa,10,ODI # 4704
21,Tabraiz Shamsi,not out,1,5,11,0,0,20,South Africa vs Australia,South Africa,11,ODI # 4704
22,Rohit Sharma,out,47,29,40,4,4,162.06,India vs New Zealand,India,1,ODI # 4703
23,Shubman Gill,not out,80,66,116,8,3,121.21,India vs New Zealand,India,2,ODI # 4703
24,Virat Kohli,out,117,113,149,9,2,103.53,India vs New Zealand,India,3,ODI # 4703
25,Shreyas Iyer,out,105,70,114,4,8,150,India vs New Zealand,India,4,ODI # 4703
26,KL Rahul,not out,39,20,29,5,2,195,India vs New Zealand,India,5,ODI # 4703
27,Suryakumar Yadav,out,1,2,2,0,0,50,India vs New Zealand,India,5,ODI # 4703
28,Rohit Sharma,out,61,54,74,8,2,112.96,India vs Netherlands,India,1,ODI # 4702
29,Shubman Gill,out,51,32,49,3,4,159.37,India vs Netherlands,India,2,ODI # 4702
30,Virat Kohli,out,51,56,69,5,1,91.07,India vs Netherlands,India,3,ODI # 4702
31,Shreyas Iyer,not out,128,94,145,10,5,136.17,India vs Netherlands,India,4,ODI # 4702
32,KL Rahul,out,102,64,98,11,4,159.37,India vs Netherlands,India,5,ODI # 4702
33,Suryakumar Yadav,not out,2,1,1,0,0,200,India vs Netherlands,India,6,ODI # 4702
34,Dawid Malan,out,31,39,61,5,0,79.48,England vs Pakistan,England,1,ODI # 4701
