,Bowling,Overs,Maiden,Runs,Wickets,Economy,Dots,4s,6s,Wide,No_balls,Match,Team_Innings,Match_id
0,Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0,India vs Australia,Australia,ODI # 4705
1,Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0,India vs Australia,Australia,ODI # 4705
2,Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,India vs Australia,Australia,ODI # 4705
3,Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0,India vs Australia,Australia,ODI # 4705
4,Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,India vs Australia,Australia,ODI # 4705
5,Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0,India vs Australia,Australia,ODI # 4705
6,Travis Head,2.0,0,4,0,2.0,8,0,0,0,0,India vs Australia,Australia,ODI # 4705
7,Mitchell Starc,10.0,1,34,3,3.4,46,3,1,4,0,South Africa vs Australia,Australia,ODI # 4704
8,Josh Hazlewood,8.0,3,12,2,1.5,39,1,0,0,0,South Africa vs Australia,Australia,ODI # 4704
9,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,South Africa vs Australia,Australia,ODI # 4704
10,Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0,South Africa vs Australia,Australia,ODI # 4704
11,Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0,South Africa vs Australia,Australia,ODI # 4704
12,Travis Head,5.0,0,21,2,4.2,19,3,0,1,0,South Africa vs Australia,Australia,ODI # 4704
13,Trent Boult,10.0,0,86,1,8.6,26,9,4,2,0,India vs New Zealand,New Zealand,ODI # 4703
14,Tim Southee,10.0,0,100,3,10.0,20,8,6,1,0,India vs New Zealand,New Zealand,ODI # 4703
15,Mitchell Santner,10.0,1,51,0,5.1,29,3,2,0,0,India vs New Zealand,New Zealand,ODI # 4703
16,Lockie Ferguson,8.0,0,65,0,8.12,15,7,1,1,0,India vs New Zealand,New Zealand,ODI # 4703
17,Rachin Ravindra,7.0,0,60,0,8.57,13,2,4,2,0,India vs New Zealand,New Zealand,ODI # 4703
18,Glenn Phillips,5.0,0,33,0,6.6,11,1,2,0,0,India vs New Zealand,New Zealand,ODI # 4703
19,Aryan Dutt,7.0,0,52,0,7.42,19,7,1,1,0,India vs Netherlands,Netherlands,ODI # 4702
20,Logan van Beek,10.0,0,107,0,10.7,17,10,6,1,0,India vs Netherlands,Netherlands,ODI # 4702
21,Colin Ackermann,3.0,0,25,0,8.33,5,2,1,1,0,India vs Netherlands,Netherlands,ODI # 4702
22,Paul van Meekeren,10.0,0,90,1,9.0,19,6,5,2,1,India vs Netherlands,Netherlands,ODI # 4702
